Frame,L_x1,L_x2,L_x3,L_x4,L_y1,L_y2,L_y3,L_y4,R_x1,R_x2,R_x3,R_x4,R_y1,R_y2,R_y3,R_y4
500,2118,2135,2288,2271,577,646,607,539,1967,1982,2128,2112,707,775,741,673
502,2124,2140,2292,2277,529,599,567,496,1974,1974,2088,2088,648,717,717,648
504,2115,2133,2290,2272,488,561,523,450,1957,1973,2123,2106,619,691,658,585
506,2112,2133,2291,2270,478,551,506,433,1952,1969,2119,2102,606,678,641,569
508,2112,2132,2292,2271,454,529,485,410,1949,1966,2117,2100,584,658,623,549
510,2111,2132,2292,2270,426,502,457,381,1944,1962,2115,2097,558,633,596,522
512,2101,2126,2287,2263,401,478,426,349,1934,1952,2106,2088,532,608,571,495
514,2111,2104,2227,2234,329,416,427,340,1934,1952,2106,2088,532,608,571,495
516,2093,2118,2283,2258,337,419,369,287,1921,1940,2097,2077,470,550,511,432
518,2093,2118,2285,2260,321,403,353,271,1918,1941,2099,2076,455,534,488,409
520,2094,2119,2291,2265,303,386,333,250,1919,1939,2099,2079,429,511,472,391
522,2096,2120,2292,2269,286,370,323,238,1918,1938,2098,2079,415,498,459,377
524,2095,2122,2294,2267,283,367,311,228,1917,1937,2098,2078,409,492,455,371
526,2095,2118,2293,2269,276,362,314,228,1914,1934,2097,2077,407,489,450,368
528,2096,2121,2295,2270,271,356,304,219,1914,1934,2097,2077,400,483,444,360
530,2097,2121,2297,2274,244,330,282,195,1912,1933,2098,2077,381,464,422,339
532,2102,2130,2305,2277,212,301,247,159,1916,1925,2091,2083,336,425,409,320
534,2103,2132,2316,2287,173,264,206,114,1918,1943,2105,2081,314,401,355,269
536,2113,2142,2331,2302,116,213,157,60,1921,1946,2114,2089,266,358,312,220
538,2124,2156,2347,2315,97,195,133,35,1933,1944,2115,2104,231,329,310,212
540,2132,2166,2355,2320,124,217,148,54,1943,1953,2121,2111,248,342,324,230
542,2131,2165,2355,2321,147,240,170,77,1932,1957,2131,2106,284,376,330,237
544,2131,2160,2353,2323,157,252,192,98,1937,1948,2121,2110,285,378,357,264
546,2132,2160,2353,2325,164,259,202,107,1937,1947,2120,2110,291,383,364,272
548,2134,2161,2355,2328,163,261,207,110,1942,1948,2119,2113,287,381,371,277
550,2137,2169,2361,2329,166,260,196,102,1948,1950,2116,2114,279,376,373,276
552,2139,2154,2347,2332,165,265,236,136,1939,1941,2115,2112,295,391,386,290
554,2139,2154,2347,2332,165,265,236,136,,,,,,,,
556,2122,2150,2339,2311,222,314,258,165,1923,1929,2104,2098,342,436,424,330
558,2125,2133,2323,2314,216,313,296,199,1923,1928,2100,2095,356,448,439,346
560,2128,2137,2324,2315,223,320,304,206,1924,1926,2096,2094,359,452,449,356
562,2121,2145,2337,2313,229,324,276,181,1929,1929,2096,2096,351,444,444,351
564,2132,2140,2330,2322,203,303,287,188,1922,1924,2101,2099,345,440,437,341
566,2125,2153,2348,2320,239,332,274,181,1927,1931,2107,2103,358,452,445,351
568,2143,2143,2331,2331,228,328,328,228,1929,1933,2111,2106,378,471,462,369
570,2132,2159,2356,2329,266,361,305,210,1936,1931,2105,2110,372,467,477,382
572,2149,2149,2340,2340,236,338,338,236,1938,1938,2113,2113,379,472,472,379
574,2149,2149,2340,2340,236,338,338,236,,,,,,,,
576,2141,2149,2342,2334,263,360,344,247,1934,1934,2107,2107,394,487,487,394
578,2131,2157,2350,2323,312,403,347,257,1926,1927,2106,2104,423,514,511,420
580,2129,2155,2353,2326,321,415,359,266,1914,1937,2123,2099,456,548,501,408
582,2141,2146,2343,2338,288,388,379,278,,,,,,,,
584,2136,2166,2366,2337,303,399,337,241,1919,1940,2128,2107,435,528,487,393
