Frame,L_x1,L_x2,L_x3,L_x4,L_y1,L_y2,L_y3,L_y4,R_x1,R_x2,R_x3,R_x4,R_y1,R_y2,R_y3,R_y4,L_longueur,L_largeur,disparity_mid1,disparity_mid2,disparity_mid3,disparity_mid4,longueur_cm,largeur_cm,profondeur_m
500,2118,2135,2288,2271,577,646,607,539,1967.0,1982.0,2128.0,2112.0,707.0,775.0,741.0,673.0,157.76961050848797,70.57797106746553,152.0,156.5,159.5,155.0,30.929,13.285,4.086
502,2124,2140,2292,2277,529,599,567,496,1974.0,1974.0,2088.0,2088.0,648.0,717.0,717.0,648.0,155.92466129512675,72.18379319487165,158.0,185.0,196.5,169.5,81.013,36.025,3.631
504,2115,2133,2290,2272,488,561,523,450,1957.0,1973.0,2123.0,2106.0,619.0,691.0,658.0,585.0,161.533278305122,75.18643494673756,159.0,163.5,166.5,162.0,29.637,13.483,3.91
506,2112,2133,2291,2270,478,551,506,433,1952.0,1969.0,2119.0,2102.0,606.0,678.0,641.0,569.0,164.28329190760695,75.96051605933177,162.0,168.0,170.0,164.0,29.676,16.855,3.834
508,2112,2132,2292,2271,454,529,485,410,1949.0,1966.0,2117.0,2100.0,584.0,658.0,623.0,549.0,165.45769852140455,77.7512057784315,164.5,170.5,173.0,167.0,29.775,15.999,3.771
510,2111,2132,2292,2270,426,502,457,381,1944.0,1962.0,2115.0,2097.0,558.0,633.0,596.0,522.0,165.72643120516415,78.98259301896843,168.5,173.5,175.0,170.0,27.107,15.86,3.704
512,2101,2126,2287,2263,401,478,426,349,1934.0,1952.0,2106.0,2088.0,532.0,608.0,571.0,495.0,169.6651113222751,80.80377466430637,170.5,177.5,178.0,171.0,27.899,20.745,3.652
514,2111,2104,2227,2234,329,416,427,340,1934.0,1952.0,2106.0,2088.0,532.0,608.0,571.0,495.0,123.4908903522847,87.28115489611719,164.5,136.5,133.5,161.5,98.171,72.604,4.315
516,2093,2118,2283,2258,337,419,369,287,1921.0,1940.0,2097.0,2077.0,470.0,550.0,511.0,432.0,172.40939649566667,85.72630868059116,175.0,182.0,183.5,176.5,28.216,19.043,3.55
518,2093,2118,2285,2260,321,403,353,271,1918.0,1941.0,2099.0,2076.0,455.0,534.0,488.0,409.0,174.3244102241565,85.72630868059116,176.0,181.5,185.0,179.5,28.666,14.185,3.526
520,2094,2119,2291,2265,303,386,333,250,1919.0,1939.0,2099.0,2079.0,429.0,511.0,472.0,391.0,179.5027854937076,86.82885465097418,177.5,186.0,189.0,180.5,31.233,18.691,3.474
522,2096,2120,2292,2269,286,370,323,238,1918.0,1938.0,2098.0,2079.0,415.0,498.0,459.0,377.0,178.9203733508289,87.70689824637512,180.0,188.0,192.0,184.0,31.229,16.378,3.423
524,2095,2122,2294,2267,283,367,311,228,1917.0,1937.0,2098.0,2078.0,409.0,492.0,455.0,371.0,180.73253719239378,87.75676612090945,181.5,190.5,192.5,183.5,29.856,20.58,3.404
526,2095,2118,2293,2269,276,362,314,228,1914.0,1934.0,2097.0,2077.0,407.0,489.0,450.0,368.0,180.9813526305956,89.15295844782717,182.5,190.0,194.0,186.5,30.348,15.708,3.382
528,2096,2121,2295,2270,271,356,304,219,1914.0,1934.0,2097.0,2077.0,400.0,483.0,444.0,360.0,181.60396471443016,88.60022573334675,184.5,192.5,195.5,187.5,29.388,17.373,3.35
530,2097,2121,2297,2274,244,330,282,195,1912.0,1933.0,2098.0,2077.0,381.0,464.0,422.0,339.0,183.04234482763817,89.63537248207317,186.5,193.5,198.0,191.0,29.649,14.328,3.311
