Frame,L_x1,L_x2,L_x3,L_x4,L_y1,L_y2,L_y3,L_y4,R_x1,R_x2,R_x3,R_x4,R_y1,R_y2,R_y3,R_y4,L_longueur,L_largeur,disparity_mid1,disparity_mid2,disparity_mid3,disparity_mid4,longueur_cm,largeur_cm,profondeur_m
210,1807,1813,1901,1894,918,962,950,905,1718.0,1725.0,1811.0,1804.0,1050.0,1094.0,1081.0,1037.0,88.38834764831844,44.972213643537714,88.5,89.0,90.0,89.5,29.064,13.692,7.127
212,1812,1818,1904,1898,896,939,928,884,1721.0,1728.0,1815.0,1808.0,1029.0,1075.0,1062.0,1016.0,86.76548853086693,43.91184350491334,90.5,89.5,89.5,90.5,26.612,14.641,7.067
214,1813,1819,1905,1899,884,929,918,874,1721.0,1728.0,1815.0,1808.0,1019.0,1065.0,1053.0,1007.0,86.63861725581728,44.90267252625394,91.5,90.5,90.5,91.5,26.261,14.657,6.989
216,1811,1818,1904,1897,902,946,933,889,1719.0,1725.0,1813.0,1807.0,1035.0,1079.0,1066.0,1022.0,86.97700845625813,44.553338819890925,92.5,92.0,90.5,91.0,29.237,15.441,6.952
218,1809,1815,1902,1896,933,976,965,921,1716.0,1724.0,1813.0,1804.0,1068.0,1114.0,1098.0,1052.0,87.75676612090945,43.91184350491334,92.0,90.0,90.5,92.5,27.749,22.375,6.97
220,1805,1810,1898,1893,952,995,984,941,1709.0,1717.0,1809.0,1801.0,1087.0,1138.0,1123.0,1073.0,88.68483523128404,43.289721643826724,94.5,91.0,90.5,94.0,38.724,25.009,6.879
222,1800,1806,1897,1892,954,997,986,942,1712.0,1719.0,1807.0,1800.0,1088.0,1133.0,1119.0,1074.0,92.21984602025748,43.846322536787504,87.5,88.5,91.0,90.0,39.63,17.263,7.129
224,1799,1805,1897,1891,954,998,985,941,1712.0,1720.0,1807.0,1799.0,1089.0,1133.0,1117.0,1073.0,92.91393867445294,44.40720662234904,86.0,87.5,91.0,89.5,49.84,20.494,7.192
226,1804,1810,1899,1892,952,997,984,939,1709.0,1717.0,1810.0,1801.0,1088.0,1136.0,1119.0,1071.0,89.44970653948508,45.467021015236966,94.0,91.0,90.0,93.0,39.218,19.451,6.916
228,1805,1811,1902,1896,954,997,985,941,1716.0,1723.0,1811.0,1805.0,1087.0,1131.0,1118.0,1074.0,91.85450451665395,43.91184350491334,88.5,89.5,91.0,90.0,33.903,13.367,7.088
230,1812,1818,1906,1899,956,998,986,943,1720.0,1728.0,1816.0,1809.0,1089.0,1136.0,1122.0,1075.0,88.38834764831844,42.99418565341132,91.0,90.0,90.0,91.0,26.885,14.471,7.028
232,1815,1821,1909,1902,949,992,980,936,1725.0,1732.0,1818.0,1811.0,1083.0,1126.0,1112.0,1069.0,88.38834764831844,43.982951242498494,89.5,90.0,91.0,90.5,28.666,13.301,7.048
234,1818,1824,1915,1908,941,985,972,928,1729.0,1737.0,1823.0,1816.0,1075.0,1118.0,1103.0,1060.0,91.4289341510662,44.477522413012174,88.0,89.5,92.0,90.5,41.726,14.907,7.07
236,1827,1833,1921,1914,928,971,958,915,1729.0,1737.0,1823.0,1816.0,1075.0,1118.0,1103.0,1060.0,88.46044313703159,43.48850422812907,97.0,97.0,98.0,98.0,25.029,13.239,6.523
238,1830,1836,1925,1918,907,951,939,894,1732.0,1738.0,1826.0,1819.0,1042.0,1085.0,1072.0,1028.0,89.37840902589394,44.972213643537714,98.0,98.5,99.0,98.5,24.982,12.099,6.457
240,1832,1839,1925,1918,914,956,943,900,1740.0,1747.0,1834.0,1827.0,1049.0,1091.0,1077.0,1034.0,87.05314468759873,43.072613108563544,92.0,91.5,91.0,91.5,26.284,12.475,6.951
242,1829,1835,1924,1918,939,984,973,928,1749.0,1754.0,1839.0,1835.0,1073.0,1116.0,1108.0,1064.0,89.67719888578144,45.39823785126467,80.5,83.0,84.0,81.5,44.098,20.871,7.736
244,1829,1836,1923,1916,956,998,984,942,1747.0,1755.0,1841.0,1833.0,1091.0,1134.0,1120.0,1077.0,88.11923740024082,42.579337712087536,81.5,81.5,82.5,82.5,30.109,16.325,7.756
246,1824,1831,1922,1915,956,999,984,940,1746.0,1754.0,1840.0,1832.0,1092.0,1135.0,1120.0,1077.0,92.31061694084815,44.05961870012041,77.5,79.5,82.5,80.5,58.754,17.262,7.958
248,1827,1835,1922,1915,954,998,983,940,1746.0,1754.0,1840.0,1833.0,1091.0,1134.0,1119.0,1076.0,88.69329174182228,44.141816908686486,81.0,81.5,82.0,81.5,30.492,14.353,7.804
250,1826,1834,1924,1916,958,1003,988,942,1748.0,1756.0,1843.0,1835.0,1095.0,1137.0,1122.0,1079.0,91.32496920338927,46.19794367718113,78.0,79.5,81.0,79.5,43.146,15.399,8.003
252,1832,1840,1926,1919,963,1006,992,949,,,,,,,,,87.62562410619395,43.649169522454834,,,,,,,
254,1831,1838,1928,1921,966,1009,996,953,,,,,,,,,90.93404203047393,43.56604182158393,,,,,,,
256,1834,1841,1928,1921,967,1010,996,953,,,,,,,,,88.11923740024082,43.56604182158393,,,,,,,
258,1833,1841,1929,1921,967,1010,994,951,,,,,,,,,89.44271909999159,43.73785545725808,,,,,,,
260,1833,1841,1929,1921,972,1015,999,956,,,,,,,,,89.44271909999159,43.73785545725808,,,,,,,
262,1831,1839,1926,1918,976,1021,1007,962,,,,,,,,,88.11923740024082,45.70557952810576,,,,,,,
264,1827,1835,1921,1914,979,1025,1010,964,,,,,,,,,87.79094486335137,46.6074028454708,,,,,,,
266,1822,1830,1918,1910,983,1029,1014,968,,,,,,,,,89.26925562588724,46.69047011971501,,,,,,,
268,1818,1826,1913,1905,985,1030,1015,969,,,,,,,,,88.36996095959304,46.19794367718113,,,,,,,
270,1815,1824,1910,1901,980,1026,1010,963,1730.0,1739.0,1841.0,1832.0,1116.0,1166.0,1148.0,1098.0,87.56854458080252,47.36296021154083,85.0,77.0,69.0,77.0,175.81,16.3,8.35
272,1813,1820,1908,1900,982,1028,1014,968,1733.0,1741.0,1827.0,1819.0,1119.0,1163.0,1147.0,1104.0,88.61292230820514,46.6074028454708,79.5,80.0,81.0,80.5,33.059,15.986,7.926
274,1812,1820,1908,1900,990,1034,1018,975,1729.0,1737.0,1827.0,1819.0,1128.0,1172.0,1155.0,1111.0,89.35463054593198,44.22951503238533,83.0,82.0,81.0,82.0,34.231,14.294,7.757
276,1815,1822,1909,1901,995,1040,1025,979,,,,,,,,,87.87775600230128,46.11398920067532,,,,,,,
278,1816,1824,1912,1904,1006,1049,1033,990,1736.0,1744.0,1833.0,1825.0,1144.0,1191.0,1175.0,1128.0,89.44271909999159,43.73785545725808,80.0,79.5,79.0,79.5,31.293,14.579,8.0
280,1814,1823,1916,1907,1007,1052,1034,989,1740.0,1749.0,1836.0,1827.0,1145.0,1188.0,1171.0,1128.0,94.72592042308166,45.89117562233506,74.0,77.0,80.0,77.0,72.806,15.794,8.272
282,1818,1826,1916,1908,1010,1054,1037,993,1742.0,1750.0,1838.0,1829.0,1149.0,1192.0,1175.0,1132.0,91.59148432032315,44.721359549995796,76.0,77.0,78.5,77.5,41.566,16.104,8.235
284,1816,1824,1910,1902,1015,1058,1042,999,1737.0,1745.0,1832.0,1824.0,1156.0,1201.0,1185.0,1140.0,87.47571091451616,43.73785545725808,79.0,78.5,78.0,78.5,31.095,14.765,8.102
286,1805,1812,1900,1893,1012,1055,1039,996,1729.0,1737.0,1823.0,1814.0,1153.0,1197.0,1181.0,1137.0,89.44271909999159,43.56604182158393,75.5,76.0,78.0,77.5,41.516,21.815,8.289
288,1791,1800,1886,1878,1015,1059,1041,998,1713.0,1722.0,1808.0,1799.0,1158.0,1201.0,1184.0,1140.0,88.25247871873061,44.32268042436062,78.0,78.0,78.5,78.5,30.484,15.749,8.128
290,1776,1783,1872,1864,1013,1057,1041,997,1698.0,1707.0,1795.0,1785.0,1158.0,1202.0,1183.0,1139.0,89.93469853176803,44.63462781294362,77.0,76.5,78.0,78.5,32.883,25.772,8.207
292,1769,1777,1865,1857,1010,1055,1039,995,1692.0,1701.0,1787.0,1778.0,1156.0,1202.0,1184.0,1138.0,89.35463054593198,45.2133829745132,76.5,77.0,78.5,78.0,37.856,18.481,8.208
294,1769,1779,1866,1857,1007,1053,1036,989,1688.0,1697.0,1787.0,1778.0,1151.0,1196.0,1179.0,1133.0,89.23284148787373,47.460509900337144,81.5,80.5,79.0,80.0,37.765,16.586,7.927
296,1770,1779,1870,1861,1003,1046,1028,985,1692.0,1701.0,1791.0,1782.0,1147.0,1190.0,1171.0,1128.0,92.76313923105448,43.93176527297759,78.0,78.5,79.0,78.5,33.325,14.83,8.102
298,1774,1783,1875,1866,1003,1047,1029,984,,,,,,,,,93.8416218956173,45.40099117860754,,,,,,,
300,1784,1793,1881,1872,997,1041,1023,979,,,,,,,,,89.82204629154248,44.91102314577124,,,,,,,
302,1788,1797,1886,1877,1000,1044,1025,981,,,,,,,,,91.00549433962765,44.91102314577124,,,,,,,
304,1792,1801,1893,1884,1004,1047,1029,986,,,,,,,,,93.74433316206373,43.93176527297759,,,,,,,
306,1800,1810,1899,1889,1010,1055,1035,990,,,,,,,,,91.21951545584969,46.09772228646444,,,,,,,
308,1806,1816,1905,1896,1011,1056,1038,992,,,,,,,,,91.39201278011114,46.4811789867684,,,,,,,
310,1814,1823,1910,1901,1011,1055,1038,994,,,,,,,,,88.64536084872124,44.91102314577124,,,,,,,
312,1815,1825,1914,1905,1013,1057,1037,994,,,,,,,,,91.59967248849748,44.52527372178637,,,,,,,
314,1820,1829,1920,1911,1009,1052,1033,990,1741.0,1752.0,1843.0,1832.0,1153.0,1199.0,1178.0,1132.0,92.9623579735368,43.93176527297759,78.0,77.0,78.0,79.0,31.583,25.355,8.154
316,1826,1836,1923,1913,1003,1048,1030,985,1746.0,1756.0,1845.0,1834.0,1147.0,1191.0,1170.0,1126.0,88.84255736976509,46.09772228646444,80.0,79.0,78.5,79.5,33.193,16.081,8.026
318,1826,1836,1924,1914,996,1043,1023,977,1743.0,1753.0,1846.0,1835.0,1141.0,1186.0,1164.0,1119.0,90.1346215391178,47.563115961845895,83.0,80.5,78.5,81.0,52.697,16.202,7.882
320,1822,1833,1920,1909,995,1039,1018,973,1743.0,1753.0,1842.0,1831.0,1138.0,1182.0,1161.0,1117.0,89.6172416446746,45.83939353874569,79.5,79.0,78.0,78.5,33.691,16.425,8.077
322,1820,1831,1918,1907,994,1039,1018,973,1739.0,1750.0,1839.0,1828.0,1139.0,1184.0,1163.0,1117.0,89.49860334105779,46.32493928760188,81.0,80.0,79.0,80.0,35.483,15.345,7.951
324,1819,1830,1917,1907,989,1039,1019,970,1739.0,1750.0,1839.0,1828.0,1135.0,1179.0,1157.0,1114.0,89.64652809785775,50.601383380299005,80.0,79.0,78.5,79.5,33.421,17.491,8.026
326,1823,1834,1921,1910,984,1028,1006,963,,,,,,,,,89.6172416446746,44.86925450684466,,,,,,,
328,1823,1834,1924,1913,970,1018,997,949,,,,,,,,,92.41753080449618,49.24428900898052,,,,,,,
330,1824,1836,1928,1916,959,1007,984,936,,,,,,,,,94.83142938920619,49.47726750741192,,,,,,,
332,1830,1840,1931,1920,948,993,972,927,,,,,,,,,92.90452088031023,46.20876540224809,,,,,,,
334,1831,1841,1935,1925,940,984,962,918,,,,,,,,,96.54014708917737,45.12205669071391,,,,,,,
336,1838,1849,1942,1930,925,969,944,900,,,,,,,,,95.818839483684,45.47801666739657,,,,,,,
338,1850,1863,1952,1940,905,950,926,880,,,,,,,,,92.79277989154113,47.185802949616104,,,,,,,
340,1860,1872,1964,1952,886,935,912,863,,,,,,,,,94.83142938920619,50.44799302251776,,,,,,,
342,1873,1885,1976,1965,863,909,886,840,,,,,,,,,94.3464360747135,47.415714694603096,,,,,,,
344,1884,1894,1982,1972,839,886,867,820,,,,,,,,,90.02777349240623,48.05205510693585,,,,,,,
346,1890,1900,1990,1979,817,863,842,796,,,,,,,,,91.93068040648889,47.18315377335432,,,,,,,
348,1897,1908,1996,1985,781,827,806,761,,,,,,,,,90.35623940824452,46.810789354592174,,,,,,,
350,1906,1917,2006,1995,737,783,762,715,,,,,,,,,91.56008955871549,47.783365306349026,,,,,,,
352,1883,1893,1984,1974,743,789,769,723,1806.0,1817.0,1909.0,1898.0,841.0,886.0,865.0,820.0,93.17188417113823,47.07440918375928,76.5,75.5,75.5,76.5,34.694,18.592,8.369
354,1856,1862,1954,1947,690,737,724,676,1780.0,1788.0,1877.0,1870.0,793.0,838.0,823.0,778.0,92.49054005680797,47.94267410147248,75.0,75.5,77.0,76.5,38.91,18.618,8.37
356,1838,1849,1942,1931,608,658,638,589,1761.0,1772.0,1864.0,1853.0,713.0,760.0,738.0,691.0,95.02236578827113,50.70749451511088,77.0,77.5,78.0,77.5,33.964,17.339,8.207
358,1825,1836,1928,1917,601,652,632,581,1739.0,1750.0,1844.0,1833.0,710.0,761.0,740.0,689.0,94.14881836751856,52.172789842982326,86.0,85.0,84.0,85.0,34.751,16.266,7.483
360,1822,1834,1930,1918,587,640,618,565,1736.0,1746.0,1841.0,1831.0,701.0,750.0,731.0,682.0,98.48857801796105,54.3415126767741,87.0,88.5,88.0,86.5,30.795,25.815,7.269
362,1833,1844,1940,1929,534,585,565,513,1745.0,1755.0,1850.0,1840.0,656.0,706.0,687.0,637.0,98.16440291673963,52.66165587977651,88.5,89.5,89.5,88.5,30.112,19.202,7.146
364,1846,1858,1957,1945,474,527,505,452,1759.0,1770.0,1865.0,1854.0,602.0,655.0,636.0,583.0,101.41498903022176,54.3415126767741,87.5,90.0,91.5,89.0,43.427,19.685,7.11
366,1853,1865,1964,1952,448,502,480,426,1764.0,1776.0,1872.0,1861.0,581.0,632.0,611.0,559.0,101.41498903022176,55.31726674375732,89.0,90.5,91.5,90.0,35.13,17.663,7.048
368,1850,1863,1963,1951,426,480,457,403,1762.0,1772.0,1870.0,1860.0,560.0,612.0,593.0,541.0,103.098254107429,55.42788107081129,89.5,92.0,92.0,89.5,35.259,28.709,7.01
370,1847,1858,1958,1946,407,462,441,386,1756.0,1767.0,1865.0,1854.0,543.0,595.0,575.0,522.0,101.69193675016717,56.189411813970786,91.0,92.0,92.5,91.5,31.114,17.655,6.932
372,1837,1851,1952,1939,396,453,429,373,1742.0,1753.0,1856.0,1845.0,530.0,584.0,564.0,510.0,104.1849317319928,58.090446718888295,96.5,97.0,95.0,94.5,31.3,27.11,6.643
374,1820,1831,1937,1926,346,405,385,325,1730.0,1741.0,1842.0,1831.0,485.0,541.0,522.0,466.0,107.96411440844592,60.508263898413084,90.0,92.5,95.0,92.5,48.717,17.335,6.881
376,1813,1826,1931,1917,321,383,360,297,1712.0,1724.0,1826.0,1814.0,457.0,514.0,492.0,435.0,107.10975679180679,63.94137940332536,101.5,103.5,104.0,102.0,31.175,21.272,6.191
378,1813,1823,1928,1917,343,401,383,324,1714.0,1724.0,1827.0,1816.0,465.0,522.0,503.0,446.0,106.12492638395562,59.434838268476845,99.0,100.0,101.0,100.0,30.737,15.75,6.361
