Frame,L_x1,L_x2,L_x3,L_x4,L_y1,L_y2,L_y3,L_y4,R_x1,R_x2,R_x3,R_x4,R_y1,R_y2,R_y3,R_y4
2250,2054,2102,2547,2499,167,319,178,26,1708,1752,2179,2135,231,381,256,106
2252,2054,2100,2541,2495,211,360,221,73,1711,1754,2177,2135,272,419,296,149
2254,2057,2102,2541,2496,247,393,257,111,,,,,,,,
2256,2064,2108,2546,2502,275,418,282,139,,,,,,,,
2258,2071,2115,2553,2509,294,437,301,158,,,,,,,,
2260,2072,2117,2554,2510,312,455,319,176,,,,,,,,
2262,2065,2108,2542,2498,338,479,346,205,1731,1773,2189,2147,396,538,416,275
2264,2048,2091,2521,2478,363,504,373,232,1716,1757,2171,2130,422,563,442,301
2266,2031,2074,2503,2461,375,516,385,244,1699,1740,2154,2113,435,576,456,316
2268,2021,2064,2493,2450,383,525,395,254,1688,1728,2143,2103,444,585,466,325
2270,2018,2061,2490,2447,395,537,408,266,1686,1726,2139,2098,454,596,477,336
2272,2019,2062,2492,2449,410,551,420,279,1686,1727,2141,2101,467,608,489,348
2274,2019,2062,2493,2450,421,563,432,290,1686,1726,2140,2100,477,619,500,358
2276,2012,2055,2486,2443,432,574,444,302,1677,1718,2135,2094,488,629,510,369
2278,2000,2043,2473,2430,449,590,461,320,1666,1706,2122,2082,503,644,526,385
2280,1993,2034,2465,2423,469,610,484,343,1657,1696,2113,2074,522,663,546,405
2282,1992,2033,2464,2423,484,625,500,358,1656,1696,2113,2073,537,678,561,420
2284,1994,2036,2466,2424,495,635,508,367,1659,1699,2116,2076,548,688,571,430
2286,1995,2036,2466,2425,505,646,520,379,1660,1699,2117,2077,560,700,582,442
2288,1991,2033,2462,2421,518,658,532,392,1657,1696,2113,2074,574,714,596,457
2290,1984,2025,2454,2413,530,670,544,404,1650,1689,2106,2067,586,725,608,469
2292,1976,2018,2448,2406,543,683,556,416,1641,1680,2099,2059,597,737,620,480
2294,1972,2014,2444,2403,553,694,567,426,1635,1674,2095,2056,607,747,629,489
2296,1973,2015,2449,2407,561,702,574,432,1634,1674,2096,2056,614,755,636,495
2298,1982,2023,2460,2419,575,716,587,446,1640,1680,2105,2065,628,769,649,508
2300,1992,2033,2474,2433,586,728,600,458,1647,1687,2116,2076,641,782,661,520
2302,1993,2035,2481,2439,585,728,597,454,1646,1686,2120,2079,641,784,662,519
2304,1986,2028,2480,2437,573,718,584,439,1634,1675,2114,2073,630,775,650,506
2306,1973,2016,2471,2427,567,715,580,432,1617,1658,2101,2060,623,770,646,498
2308,1957,2001,2460,2416,570,720,585,435,1597,1638,2086,2045,626,776,652,502
2310,1945,1989,2455,2411,567,718,582,431,1579,1620,2075,2034,624,776,651,499
2312,1939,1983,2457,2412,556,710,575,420,1567,1609,2070,2028,616,770,644,490
2314,1937,1983,2463,2417,547,704,563,407,1561,1604,2071,2029,608,765,637,481
2316,1940,1986,2472,2427,551,709,568,410,1558,1601,2074,2031,615,772,643,486
2318,1947,1991,2484,2440,565,722,582,426,1560,1602,2081,2039,631,786,656,500
2320,1954,1999,2499,2453,576,737,595,435,1561,1604,2089,2045,640,800,667,508
2322,1963,2007,2516,2471,576,738,600,437,1564,1608,2101,2056,642,805,670,508
2324,1989,2032,2532,2489,561,724,593,430,1566,1611,2109,2064,635,800,664,499
2326,1977,2024,2549,2502,561,730,583,414,1566,1612,2119,2074,625,793,655,487
2328,1981,2030,2564,2516,553,724,572,401,1566,1611,2127,2081,615,786,648,477
2330,1987,2037,2579,2530,556,729,575,402,1565,1612,2135,2089,616,790,649,475
2332,1993,2043,2595,2545,566,741,586,411,1565,1613,2144,2096,624,800,657,481
2334,2002,2051,2612,2563,573,751,595,417,1567,1615,2154,2106,631,809,663,486
