Frame,L_x1,L_x2,L_x3,L_x4,L_y1,L_y2,L_y3,L_y4,R_x1,R_x2,R_x3,R_x4,R_y1,R_y2,R_y3,R_y4,L_longueur,L_largeur,disparity_mid1,disparity_mid2,disparity_mid3,disparity_mid4,longueur_cm,largeur_cm,profondeur_m
2250,2054,2102,2547,2499,167,319,178,26,1708.0,1752.0,2179.0,2135.0,231.0,381.0,256.0,106.0,466.80402740336336,159.3988707613702,348.0,359.0,366.0,355.0,33.633,12.627,1.783
2252,2054,2100,2541,2495,211,360,221,73,1711.0,1754.0,2177.0,2135.0,272.0,419.0,296.0,149.0,462.2372226465541,155.46141000261125,344.5,355.0,362.0,351.5,33.706,12.331,1.802
2254,2057,2102,2541,2496,247,393,257,111,,,,,,,,,459.5835071018106,152.7776161615307,,,,,,,
2256,2064,2108,2546,2502,275,418,282,139,,,,,,,,,458.62838987572496,149.61617559608987,,,,,,,
2258,2071,2115,2553,2509,294,437,301,158,,,,,,,,,458.62838987572496,149.61617559608987,,,,,,,
2260,2072,2117,2554,2510,312,455,319,176,,,,,,,,,458.1509030876181,149.7639809834127,,,,,,,
2262,2065,2108,2542,2498,338,479,346,205,1731.0,1773.0,2189.0,2147.0,396.0,538.0,416.0,275.0,453.44376718618594,147.55761586580343,334.5,344.0,352.0,342.5,34.152,11.622,1.854
2264,2048,2091,2521,2478,363,504,373,232,1716.0,1757.0,2171.0,2130.0,422.0,563.0,442.0,301.0,449.5119575717647,147.41099009232656,333.0,342.0,349.0,340.0,34.132,11.771,1.866
2266,2031,2074,2503,2461,375,516,385,244,1699.0,1740.0,2154.0,2113.0,435.0,576.0,456.0,316.0,449.0336847052791,147.26591594798845,333.0,341.5,348.5,340.0,34.175,11.678,1.867
2268,2021,2064,2493,2450,383,525,395,254,1688.0,1728.0,2143.0,2103.0,444.0,585.0,466.0,325.0,448.1196826741713,147.88931672030944,334.5,343.0,348.5,340.0,34.043,11.978,1.863
2270,2018,2061,2490,2447,395,537,408,266,1686.0,1726.0,2139.0,2098.0,454.0,596.0,477.0,336.0,447.9754457556798,148.36778626103444,333.5,343.0,350.0,340.5,34.099,11.9,1.862
2272,2019,2062,2492,2449,410,551,420,279,1686.0,1727.0,2141.0,2101.0,467.0,608.0,489.0,348.0,449.5119575717647,147.41099009232656,334.0,343.0,349.5,340.5,34.177,11.818,1.862
2274,2019,2062,2493,2450,421,563,432,290,1686.0,1726.0,2140.0,2100.0,477.0,619.0,500.0,358.0,450.46864485777473,148.36778626103444,334.5,344.5,351.5,341.5,34.187,11.936,1.855
2276,2012,2055,2486,2443,432,574,444,302,1677.0,1718.0,2135.0,2094.0,488.0,629.0,510.0,369.0,450.17885334608957,148.36778626103444,336.0,344.0,350.0,342.0,34.108,11.749,1.855
2278,2000,2043,2473,2430,449,590,461,320,1666.0,1706.0,2122.0,2082.0,503.0,644.0,526.0,385.0,448.9331798831537,147.41099009232656,335.5,344.0,349.5,341.0,34.117,11.865,1.858
2280,1993,2034,2465,2423,469,610,484,343,1657.0,1696.0,2113.0,2074.0,522.0,663.0,546.0,405.0,448.5601966291704,146.9804408756485,337.0,345.0,350.5,342.5,34.002,11.687,1.851
2282,1992,2033,2464,2423,484,625,500,358,1656.0,1696.0,2113.0,2073.0,537.0,678.0,561.0,420.0,448.9000445533504,147.32022943234918,336.5,344.0,350.5,343.0,34.079,11.486,1.852
2284,1994,2036,2466,2424,495,635,508,367,1659.0,1699.0,2116.0,2076.0,548.0,688.0,571.0,430.0,448.5044592866385,146.64327464974315,336.0,343.5,349.0,341.5,34.122,11.609,1.858
2286,1995,2036,2466,2425,505,646,520,379,1660.0,1699.0,2117.0,2077.0,560.0,700.0,582.0,442.0,448.08034993737454,146.84004903295286,336.0,343.0,348.5,341.5,34.119,11.555,1.859
2288,1991,2033,2462,2421,518,658,532,392,1657.0,1696.0,2113.0,2074.0,574.0,714.0,596.0,457.0,447.60054736338293,146.02140254086044,335.5,343.0,348.0,340.5,34.151,11.658,1.862
2290,1984,2025,2454,2413,530,670,544,404,1650.0,1689.0,2106.0,2067.0,586.0,725.0,608.0,469.0,447.1207890492233,145.8800877433243,335.0,342.0,347.0,340.0,34.211,11.59,1.866
2292,1976,2018,2448,2406,543,683,556,416,1641.0,1680.0,2099.0,2059.0,597.0,737.0,620.0,480.0,448.36257649362307,146.1642911247477,336.5,343.5,348.0,341.0,34.2,11.639,1.859
2294,1972,2014,2444,2403,553,694,567,426,1635.0,1674.0,2095.0,2056.0,607.0,747.0,629.0,489.0,448.8421214636612,146.9804408756485,338.5,344.5,348.0,342.0,34.153,11.663,1.853
2296,1973,2015,2449,2407,561,702,574,432,1634.0,1674.0,2096.0,2056.0,614.0,755.0,636.0,495.0,452.62373998719954,147.60165988226555,340.0,347.0,352.0,345.0,34.167,11.536,1.839
2298,1982,2023,2460,2419,575,716,587,446,1640.0,1680.0,2105.0,2065.0,628.0,769.0,649.0,508.0,455.642403645666,146.84004903295286,342.5,349.0,354.5,348.0,34.131,11.265,1.826
2300,1992,2033,2474,2433,586,728,600,458,1647.0,1687.0,2116.0,2076.0,641.0,782.0,661.0,520.0,459.2003919858954,147.80054127099805,345.5,352.0,357.5,351.0,34.085,11.237,1.81
2302,1993,2035,2481,2439,585,728,597,454,1646.0,1686.0,2120.0,2079.0,641.0,784.0,662.0,519.0,464.8408329740407,149.04026301640775,348.0,355.0,360.5,353.5,34.223,11.296,1.796
2304,1986,2028,2480,2437,573,718,584,439,1634.0,1675.0,2114.0,2073.0,630.0,775.0,650.0,506.0,470.9652322624251,151.10013236261574,352.5,359.5,365.0,358.0,34.238,11.308,1.773
2306,1973,2016,2471,2427,567,715,580,432,1617.0,1658.0,2101.0,2060.0,623.0,770.0,646.0,498.0,474.1257744523071,154.26033190681264,357.0,364.0,368.5,361.5,34.11,11.537,1.754
2308,1957,2001,2460,2416,570,720,585,435,1597.0,1638.0,2086.0,2045.0,626.0,776.0,652.0,502.0,478.44121896007243,156.32018423735306,361.5,368.5,372.5,365.5,34.058,11.614,1.733
2310,1945,1989,2455,2411,567,718,582,431,1579.0,1620.0,2075.0,2034.0,624.0,776.0,651.0,499.0,485.44000659195774,157.2800050864699,367.5,374.5,378.5,371.5,34.02,11.491,1.705
2312,1939,1983,2457,2412,556,710,575,420,1567.0,1609.0,2070.0,2028.0,616.0,770.0,644.0,490.0,492.5063451367911,160.7809068266503,373.0,380.5,385.5,378.0,33.949,11.482,1.677
2314,1937,1983,2463,2417,547,704,563,407,1561.0,1604.0,2071.0,2029.0,608.0,765.0,637.0,481.0,500.140230335453,163.12035433997806,377.5,385.5,390.0,382.0,34.055,11.634,1.658
2316,1940,1986,2472,2427,551,709,568,410,1558.0,1601.0,2074.0,2031.0,615.0,772.0,643.0,486.0,506.5207300792338,164.42095365250745,383.5,391.5,397.0,389.0,33.906,11.398,1.63
2318,1947,1991,2484,2440,565,722,582,426,1560.0,1602.0,2081.0,2039.0,631.0,786.0,656.0,500.0,512.3565652941319,162.56767821433633,388.0,396.0,402.0,394.0,33.878,11.076,1.611
2320,1954,1999,2499,2453,576,737,595,435,1561.0,1604.0,2089.0,2045.0,640.0,800.0,667.0,508.0,519.1555643542695,166.82475835438817,394.0,402.5,409.0,400.5,33.756,11.169,1.585
